timestamp,tot,storeId
2019-02-01,144.01694163051,1.0
2019-02-02,195.33526490636456,1.0
2019-02-03,158.83104051277877,1.0
2019-02-04,127.06279728892606,1.0
2019-02-05,140.6474634597826,1.0
2019-02-06,139.86405016284306,1.0
2019-02-07,154.21731354281962,1.0
2019-02-08,155.30753218978737,1.0
2019-02-09,193.69359225920851,1.0
2019-02-10,167.00568645782542,1.0
2019-02-11,125.64737783204572,1.0
2019-02-12,134.78879078021433,1.0
2019-02-13,148.79551774207383,1.0
2019-02-14,158.31561015972522,1.0
2019-02-15,159.86977010277445,1.0
2019-02-16,202.92238565930816,1.0
2019-02-17,168.82817436906112,1.0
2019-02-18,129.31465378837083,1.0
2019-02-19,139.04774253822393,1.0
2019-02-20,149.84109592761394,1.0
2019-02-21,156.3403368550801,1.0
2019-02-22,161.88400009555951,1.0
2019-02-23,200.7390847851822,1.0
2019-02-24,165.32062662437983,1.0
2019-02-25,129.06958587393237,1.0
2019-02-26,136.80199044155927,1.0
2019-02-27,148.91811347219263,1.0
2019-02-28,155.49038363166957,1.0
